<FileName>Galaxy Светлый 1600 оборотов 49.02кг</FileName>
LGL KNITTING 10.72  Java Bit: 64 @169.254.0.1 NEWKYC003615@---	20260129_13-21-57
Revolution,1600
Needles,2392
Consumption,28225.09,g
Consumption,1.36990528E8,cm
Product group
25 Tex,milang,6.4429672E7,cm,47.04,%cm,16107.42,g,57.07,%g,36.6,cm,av100ndl,
167 dTex,3603,3.8469236E7,cm,28.09,%cm,6424.37,g,22.77,%g,43.71,cm,av100ndl,
167 dTex,трилобал ,3.4091616E7,cm,24.89,%cm,5693.31,g,20.18,%g,38.73,cm,av100ndl,

 ,Feeder,Consumption,cm-in,Consumption,g-lb,Consumption 100 nl,cm-in,% Feeder g-lb,Count,Type
,74,1605337.0,cm,268.1,g,41.95,cm,0.95,167 dTex,3603
,75,1429152.6,cm,357.29,g,37.35,cm,1.27,25 Tex,milang
,76,1533974.9,cm,256.18,g,40.09,cm,0.91,167 dTex,трилобал 
,77,1390352.5,cm,347.59,g,36.33,cm,1.24,25 Tex,milang
,78,1578686.4,cm,263.65,g,41.25,cm,0.94,167 dTex,3603
,79,1386466.0,cm,346.62,g,36.23,cm,1.23,25 Tex,milang
,80,1433235.1,cm,239.36,g,37.45,cm,0.85,167 dTex,трилобал 
,81,1381158.8,cm,345.29,g,36.09,cm,1.23,25 Tex,milang
,82,1667733.9,cm,278.52,g,43.58,cm,0.99,167 dTex,3603
,83,1374888.0,cm,343.73,g,35.93,cm,1.22,25 Tex,milang
,84,1504744.1,cm,251.3,g,39.32,cm,0.9,167 dTex,трилобал 
,85,1391854.9,cm,347.97,g,36.37,cm,1.24,25 Tex,milang
,86,1681810.4,cm,280.87,g,43.95,cm,1.0,167 dTex,3603
,87,1450071.4,cm,362.52,g,37.89,cm,1.29,25 Tex,milang
,88,1573509.8,cm,262.78,g,41.12,cm,0.94,167 dTex,трилобал 
,89,1407564.4,cm,351.9,g,36.78,cm,1.25,25 Tex,milang
,90,1681581.8,cm,280.83,g,43.94,cm,1.0,167 dTex,3603
,91,1414227.0,cm,353.56,g,36.96,cm,1.26,25 Tex,milang
,92,1440208.0,cm,240.52,g,37.64,cm,0.86,167 dTex,трилобал 
