<FileName>mashine 1</FileName>
LGL KNITTING 10.72  Java Bit: 64 @169.254.0.1 NEWKYC003615@---	20260421_16-18-08
Revolution,10
Needles,2392
Consumption,124.3,g
Consumption,745382.94,cm
Product group
150 den,Nit 150,551186.5,cm,73.95,%cm,91.87,g,73.91,%g,33.4,cm,av100ndl,
167 dTex,трилобал ,194196.34,cm,26.06,%cm,32.44,g,26.1,%g,35.3,cm,av100ndl,

 ,Feeder,Consumption,cm-in,Consumption,g-lb,Consumption 100 nl,cm-in,% Feeder g-lb,Count,Type
,76,8148.67,cm,1.37,g,34.07,cm,1.1,167 dTex,трилобал 
,77,7038.23,cm,1.18,g,29.43,cm,0.95,150 den,Nit 150
,78,9373.42,cm,1.57,g,39.19,cm,1.26,150 den,Nit 150
,79,6972.92,cm,1.17,g,29.16,cm,0.94,150 den,Nit 150
,80,7920.05,cm,1.33,g,33.12,cm,1.07,167 dTex,трилобал 
,81,7136.21,cm,1.19,g,29.84,cm,0.96,150 den,Nit 150
,82,9749.01,cm,1.63,g,40.76,cm,1.31,150 den,Nit 150
,83,6874.94,cm,1.15,g,28.75,cm,0.93,150 den,Nit 150
,84,8377.3,cm,1.4,g,35.03,cm,1.13,167 dTex,трилобал 
,85,7038.23,cm,1.18,g,29.43,cm,0.95,150 den,Nit 150
,86,9634.71,cm,1.61,g,40.28,cm,1.3,150 den,Nit 150
,87,7430.15,cm,1.24,g,31.07,cm,1.0,150 den,Nit 150
,88,7952.71,cm,1.33,g,33.25,cm,1.07,167 dTex,трилобал 
,89,7185.21,cm,1.2,g,30.04,cm,0.97,150 den,Nit 150
,90,9651.04,cm,1.61,g,40.35,cm,1.3,150 den,Nit 150
,91,7152.55,cm,1.2,g,29.91,cm,0.96,150 den,Nit 150
,92,8507.93,cm,1.43,g,35.57,cm,1.15,167 dTex,трилобал 
