<FileName>Cotton S</FileName>
LGL KNITTING 10.72  Java Bit: 64 @169.254.0.1 NEWKYC003699@---	20260122_15-32-28
Revolution,10
Needles,2392
Consumption,141.87,g
Consumption,776769.1,cm
Product group
20 Tex,pryaga 20tex,182553.08,cm,23.51,%cm,36.52,g,25.74,%g,33.19,cm,av100ndl,
150 den,150 dne Polyester,218821.98,cm,28.18,%cm,36.48,g,25.71,%g,39.78,cm,av100ndl,
20 Tex,xlopok 20,189591.3,cm,24.41,%cm,37.92,g,26.73,%g,34.47,cm,av100ndl,
150 den,212,185802.73,cm,23.92,%cm,30.97,g,21.83,%g,33.78,cm,av100ndl,

 ,Feeder,Consumption,cm-in,Consumption,g-lb,Consumption 100 nl,cm-in,% Feeder g-lb,Count,Type
,71,7903.72,cm,1.59,g,33.05,cm,1.12,20 Tex,xlopok 20
,72,8083.36,cm,1.35,g,33.8,cm,0.95,150 den,212
,73,8295.64,cm,1.66,g,34.69,cm,1.17,20 Tex,pryaga 20tex
,74,9406.09,cm,1.57,g,39.33,cm,1.11,150 den,150 dne Polyester
,75,8638.58,cm,1.73,g,36.12,cm,1.22,20 Tex,xlopok 20
,76,7838.4,cm,1.31,g,32.77,cm,0.93,150 den,212
,77,7658.78,cm,1.54,g,32.02,cm,1.08,20 Tex,pryaga 20tex
,78,9438.75,cm,1.58,g,39.46,cm,1.11,150 den,150 dne Polyester
,79,8475.27,cm,1.7,g,35.44,cm,1.2,20 Tex,xlopok 20
,80,8344.63,cm,1.4,g,34.89,cm,0.99,150 den,212
,81,7609.78,cm,1.53,g,31.82,cm,1.08,20 Tex,pryaga 20tex
,82,9422.42,cm,1.58,g,39.4,cm,1.11,150 den,150 dne Polyester
,83,8328.3,cm,1.67,g,34.82,cm,1.18,20 Tex,xlopok 20
,84,8262.98,cm,1.38,g,34.55,cm,0.98,150 den,212
,85,8230.33,cm,1.65,g,34.41,cm,1.17,20 Tex,pryaga 20tex
,86,9569.38,cm,1.6,g,40.01,cm,1.13,150 den,150 dne Polyester
,87,8426.29,cm,1.69,g,35.23,cm,1.19,20 Tex,xlopok 20
,88,7626.11,cm,1.28,g,31.89,cm,0.9,150 den,212
,89,7969.05,cm,1.6,g,33.32,cm,1.13,20 Tex,pryaga 20tex
,90,9144.8,cm,1.53,g,38.24,cm,1.08,150 den,150 dne Polyester
,91,8524.26,cm,1.71,g,35.64,cm,1.21,20 Tex,xlopok 20
,92,8262.98,cm,1.38,g,34.55,cm,0.98,150 den,212
