<FileName>machine 3</FileName>
LGL KNITTING 10.72  Java Bit: 64 @169.254.0.1 NEWKYC003763@---	20260428_10-10-25
Revolution,10
Needles,2392
Consumption,144.29,g
Consumption,865718.6,cm
Product group
150 den,Nit 150,865718.6,cm,100.0,%cm,144.29,g,100.0,%g,39.34,cm,av100ndl,

 ,Feeder,Consumption,cm-in,Consumption,g-lb,Consumption 100 nl,cm-in,% Feeder g-lb,Count,Type
,79,6793.28,cm,1.14,g,28.4,cm,0.79,150 den,Nit 150
,80,11528.98,cm,1.93,g,48.2,cm,1.34,150 den,Nit 150
,81,6956.59,cm,1.16,g,29.09,cm,0.81,150 den,Nit 150
,82,11675.96,cm,1.95,g,48.82,cm,1.35,150 den,Nit 150
,83,6776.96,cm,1.13,g,28.34,cm,0.79,150 den,Nit 150
,84,12182.18,cm,2.04,g,50.93,cm,1.41,150 den,Nit 150
,85,7038.23,cm,1.18,g,29.43,cm,0.82,150 den,Nit 150
,86,11839.25,cm,1.98,g,49.5,cm,1.37,150 den,Nit 150
,87,7087.22,cm,1.19,g,29.63,cm,0.82,150 den,Nit 150
,88,11822.92,cm,1.98,g,49.43,cm,1.37,150 den,Nit 150
,89,7658.78,cm,1.28,g,32.02,cm,0.89,150 den,Nit 150
,90,12214.84,cm,2.04,g,51.07,cm,1.42,150 den,Nit 150
,91,6956.59,cm,1.16,g,29.09,cm,0.81,150 den,Nit 150
,92,12002.55,cm,2.01,g,50.18,cm,1.39,150 den,Nit 150
