<FileName>Galaxy 10 борот</FileName>
LGL KNITTING 10.72  Java Bit: 64 @169.254.0.1 NEWKYC003615@---	20260129_14-48-18
Revolution,10
Needles,2392
Consumption,172.72,g
Consumption,837728.9,cm
Product group
25 Tex,milang,395398.28,cm,47.2,%cm,98.85,g,57.24,%g,35.94,cm,av100ndl,
167 dTex,3603,234629.44,cm,28.01,%cm,39.19,g,22.69,%g,42.65,cm,av100ndl,
167 dTex,трилобал ,207701.27,cm,24.8,%cm,34.69,g,20.09,%g,37.76,cm,av100ndl,

 ,Feeder,Consumption,cm-in,Consumption,g-lb,Consumption 100 nl,cm-in,% Feeder g-lb,Count,Type
,76,9406.09,cm,1.58,g,39.33,cm,0.91,167 dTex,трилобал 
,77,8507.93,cm,2.13,g,35.57,cm,1.24,25 Tex,milang
,78,9634.71,cm,1.61,g,40.28,cm,0.94,167 dTex,3603
,79,8491.6,cm,2.13,g,35.5,cm,1.23,25 Tex,milang
,80,8752.88,cm,1.47,g,36.6,cm,0.85,167 dTex,трилобал 
,81,8458.95,cm,2.12,g,35.37,cm,1.23,25 Tex,milang
,82,10189.92,cm,1.71,g,42.6,cm,0.99,167 dTex,3603
,83,8393.63,cm,2.1,g,35.1,cm,1.22,25 Tex,milang
,84,9177.46,cm,1.54,g,38.37,cm,0.89,167 dTex,трилобал 
,85,8573.25,cm,2.15,g,35.85,cm,1.25,25 Tex,milang
,86,10222.59,cm,1.71,g,42.74,cm,0.99,167 dTex,3603
,87,8867.2,cm,2.22,g,37.08,cm,1.29,25 Tex,milang
,88,9634.71,cm,1.61,g,40.28,cm,0.94,167 dTex,трилобал 
,89,8638.58,cm,2.16,g,36.12,cm,1.26,25 Tex,milang
,90,10287.91,cm,1.72,g,43.01,cm,1.0,167 dTex,3603
,91,8703.89,cm,2.18,g,36.39,cm,1.26,25 Tex,milang
,92,8769.21,cm,1.47,g,36.67,cm,0.85,167 dTex,трилобал 
